translator,language,domain,direction,cosine,bleu,ter
google,es,conversational,ABA,0.98924,67.6881,21.8884
google,es,conversational,BAB,0.99097,90.9,5.9829
google,es,cultural,ABA,0.977292,65.6455,21.0879
google,es,cultural,BAB,0.993247,89.0122,7.0461
google,es,idiomatic,ABA,0.978577,65.7969,23.5057
google,es,idiomatic,BAB,0.991695,87.4884,8.4086
google,es,technical,ABA,0.98855,78.0855,12.4511
google,es,technical,BAB,0.997822,96.7193,1.9335
google,es,legal,ABA,0.991257,75.8489,14.4281
google,es,legal,BAB,0.996268,91.5206,4.929
google,es,emotional,ABA,0.990064,64.962,22.6908
google,es,emotional,BAB,0.994608,88.8378,6.957
google,de,conversational,ABA,0.987061,62.5481,29.1845
google,de,conversational,BAB,0.990259,85.7454,9.8242
google,de,cultural,ABA,0.981273,62.9632,23.9195
google,de,cultural,BAB,0.985421,78.0876,15.0957
google,de,idiomatic,ABA,0.980389,59.7766,28.9456
google,de,idiomatic,BAB,0.991473,81.1209,13.4308
google,de,technical,ABA,0.989019,75.6128,13.2341
google,de,technical,BAB,0.992101,91.6811,6.1439
google,de,legal,ABA,0.983798,60.548,25.2966
google,de,legal,BAB,0.991746,78.5604,14.876
google,de,emotional,ABA,0.990602,59.5321,25.9036
google,de,emotional,BAB,0.99501,84.387,11.9512
google,ru,conversational,ABA,0.985436,58.0492,31.867
google,ru,conversational,BAB,0.985045,86.5151,9.7735
google,ru,cultural,ABA,0.97773,58.2632,30.775
google,ru,cultural,BAB,0.98253,78.7496,14.7527
google,ru,idiomatic,ABA,0.971628,53.8118,32.7737
google,ru,idiomatic,BAB,0.965015,74.3408,19.7411
google,ru,technical,ABA,0.979373,64.2504,22.0047
google,ru,technical,BAB,0.976794,88.0328,8.8412
google,ru,legal,ABA,0.982858,59.3293,27.1001
google,ru,legal,BAB,0.964496,74.8547,18.2733
google,ru,emotional,ABA,0.989201,58.38,27.4096
google,ru,emotional,BAB,0.978161,80.2923,13.3258
google,ar,conversational,ABA,0.989751,71.9473,19.3133
google,ar,conversational,BAB,0.999554,88.6349,7.75
google,ar,cultural,ABA,0.984143,69.6526,17.7347
google,ar,cultural,BAB,0.979776,83.635,10.9577
google,ar,idiomatic,ABA,0.985002,70.2454,20.3492
google,ar,idiomatic,BAB,0.974211,82.585,11.7598
google,ar,technical,ABA,0.981822,70.8105,17.1496
google,ar,technical,BAB,0.99811,90.3408,5.9795
google,ar,legal,ABA,0.985822,63.1507,23.8253
google,ar,legal,BAB,0.976137,81.116,13.1971
google,ar,emotional,ABA,0.990278,62.6865,23.7952
google,ar,emotional,BAB,0.988093,77.1361,13.8577
google,ja,conversational,ABA,0.979202,46.0232,44.7425
google,ja,conversational,BAB,1.0,0.0,73.0
google,ja,cultural,ABA,0.973191,50.9821,33.9791
google,ja,cultural,BAB,0.991172,50.753,62.1212
google,ja,idiomatic,ABA,0.972555,46.5115,42.6461
google,ja,idiomatic,BAB,0.998464,0.0,80.5556
google,ja,technical,ABA,0.977255,58.4344,28.1911
google,ja,technical,BAB,1.0,60.4253,28.4264
google,ja,legal,ABA,0.980726,53.778,29.046
google,ja,legal,BAB,0.996929,15.7534,83.4783
google,ja,emotional,ABA,0.98522,47.6025,37.0984
google,ja,emotional,BAB,0.999823,41.244,87.7358
