translator,order,domain,hop,lang_code,cosine,bleu,ter
google,linguistic,conversational,0,en,1.0,100.0,0.0
google,linguistic,conversational,1,es,0.98924,67.6881,21.8884
google,linguistic,conversational,2,de,0.985203,54.9275,34.7639
google,linguistic,conversational,3,ru,0.98025,47.2911,41.4163
google,linguistic,conversational,4,ar,0.980012,46.3092,41.6309
google,linguistic,conversational,5,ja,0.970303,35.085,55.5794
google,linguistic,cultural,0,en,1.0,100.0,0.0
google,linguistic,cultural,1,es,0.977292,65.6455,21.0879
google,linguistic,cultural,2,de,0.968141,52.8572,32.4888
google,linguistic,cultural,3,ru,0.959875,43.1124,42.9955
google,linguistic,cultural,4,ar,0.956677,40.2742,46.1997
google,linguistic,cultural,5,ja,0.946864,30.7842,55.4396
google,linguistic,idiomatic,0,en,1.0,100.0,0.0
google,linguistic,idiomatic,1,es,0.978577,65.7969,23.5057
google,linguistic,idiomatic,2,de,0.96922,49.0067,37.139
google,linguistic,idiomatic,3,ru,0.961597,38.9808,46.9443
google,linguistic,idiomatic,4,ar,0.95818,37.4846,49.1605
google,linguistic,idiomatic,5,ja,0.947253,25.9159,62.3237
google,linguistic,technical,0,en,1.0,100.0,0.0
google,linguistic,technical,1,es,0.98855,78.0855,12.4511
google,linguistic,technical,2,de,0.984559,69.7667,17.5411
google,linguistic,technical,3,ru,0.974796,56.1216,28.3477
google,linguistic,technical,4,ar,0.968852,50.726,32.8896
google,linguistic,technical,5,ja,0.95834,41.1896,42.13
google,linguistic,legal,0,en,1.0,100.0,0.0
google,linguistic,legal,1,es,0.991257,75.8489,14.4281
google,linguistic,legal,2,de,0.981167,54.9377,31.1818
google,linguistic,legal,3,ru,0.975111,46.5558,38.9654
google,linguistic,legal,4,ar,0.971984,40.2506,45.1353
google,linguistic,legal,5,ja,0.965942,33.2427,50.261
google,linguistic,emotional,0,en,1.0,100.0,0.0
google,linguistic,emotional,1,es,0.990064,64.962,22.6908
google,linguistic,emotional,2,de,0.984747,50.9758,34.1365
google,linguistic,emotional,3,ru,0.982398,45.612,38.6546
google,linguistic,emotional,4,ar,0.97968,41.6537,42.0181
google,linguistic,emotional,5,ja,0.97489,33.6712,50.3012
google,reverse,conversational,0,en,1.0,100.0,0.0
google,reverse,conversational,1,ja,0.979202,46.0232,44.7425
google,reverse,conversational,2,ar,0.97933,44.5729,45.279
google,reverse,conversational,3,ru,0.975339,37.8055,51.5021
google,reverse,conversational,4,de,0.973857,37.3621,51.7167
google,reverse,conversational,5,es,0.973728,35.1024,53.8627
google,reverse,cultural,0,en,1.0,100.0,0.0
google,reverse,cultural,1,ja,0.973191,50.9821,33.9791
google,reverse,cultural,2,ar,0.96739,45.2109,40.2385
google,reverse,cultural,3,ru,0.962217,38.8632,47.392
google,reverse,cultural,4,de,0.957979,33.8389,52.0864
google,reverse,cultural,5,es,0.946384,29.8552,56.7064
google,reverse,idiomatic,0,en,1.0,100.0,0.0
google,reverse,idiomatic,1,ja,0.972555,46.5115,42.6461
google,reverse,idiomatic,2,ar,0.965511,40.443,49.362
google,reverse,idiomatic,3,ru,0.958339,33.4033,57.1525
google,reverse,idiomatic,4,de,0.952432,29.737,59.6373
google,reverse,idiomatic,5,es,0.949364,27.9751,61.1148
google,reverse,technical,0,en,1.0,100.0,0.0
google,reverse,technical,1,ja,0.977255,58.4344,28.1911
google,reverse,technical,2,ar,0.969706,49.3641,35.0822
google,reverse,technical,3,ru,0.964518,44.5217,39.9374
google,reverse,technical,4,de,0.962611,42.0535,41.9734
google,reverse,technical,5,es,0.961472,40.8445,42.9914
google,reverse,legal,0,en,1.0,100.0,0.0
google,reverse,legal,1,ja,0.980726,53.778,29.046
google,reverse,legal,2,ar,0.977071,46.2951,36.4499
google,reverse,legal,3,ru,0.972097,39.7789,42.3825
google,reverse,legal,4,de,0.968098,36.8331,46.4167
google,reverse,legal,5,es,0.968871,35.3809,46.9862
google,reverse,emotional,0,en,1.0,100.0,0.0
google,reverse,emotional,1,ja,0.98522,47.6025,37.0984
google,reverse,emotional,2,ar,0.981403,42.6104,42.3695
google,reverse,emotional,3,ru,0.979984,37.9871,46.5863
google,reverse,emotional,4,de,0.97845,34.1157,49.5482
google,reverse,emotional,5,es,0.975678,33.4567,50.5522
google,random,conversational,0,en,1.0,100.0,0.0
google,random,conversational,1,ru,0.985436,58.0492,31.867
google,random,conversational,2,es,0.982141,49.8968,38.3047
google,random,conversational,3,ja,0.972573,35.1699,53.5408
google,random,conversational,4,de,0.969583,33.1346,55.5794
google,random,conversational,5,ar,0.969846,33.3927,54.721
google,random,cultural,0,en,1.0,100.0,0.0
google,random,cultural,1,ru,0.97773,58.2632,30.775
google,random,cultural,2,es,0.962822,46.1292,40.3875
google,random,cultural,3,ja,0.951835,34.9328,51.6393
google,random,cultural,4,de,0.952222,33.005,55.3651
google,random,cultural,5,ar,0.95015,33.4668,55.9613
google,random,idiomatic,0,en,1.0,100.0,0.0
google,random,idiomatic,1,ru,0.971628,53.8118,32.7737
google,random,idiomatic,2,es,0.96264,44.878,41.37
google,random,idiomatic,3,ja,0.953516,32.1351,55.5406
google,random,idiomatic,4,de,0.952254,29.4945,57.8912
google,random,idiomatic,5,ar,0.950061,27.7542,60.9134
google,random,technical,0,en,1.0,100.0,0.0
google,random,technical,1,ru,0.979373,64.2504,22.0047
google,random,technical,2,es,0.975734,59.3927,25.0587
google,random,technical,3,ja,0.967745,46.4533,37.823
google,random,technical,4,de,0.965888,43.3321,40.0157
google,random,technical,5,ar,0.961548,40.5729,43.6962
google,random,legal,0,en,1.0,100.0,0.0
google,random,legal,1,ru,0.982858,59.3293,27.1001
google,random,legal,2,es,0.98086,54.3403,30.3749
google,random,legal,3,ja,0.971333,39.0699,42.0978
google,random,legal,4,de,0.968754,35.5282,46.2269
google,random,legal,5,ar,0.967076,31.9346,50.7356
google,random,emotional,0,en,1.0,100.0,0.0
google,random,emotional,1,ru,0.989201,58.38,27.4096
google,random,emotional,2,es,0.984374,50.2909,33.7349
google,random,emotional,3,ja,0.97928,38.218,45.5823
google,random,emotional,4,de,0.977047,33.8313,49.3976
google,random,emotional,5,ar,0.974892,32.3815,51.1546
