translator,family,language,domain,cosine,bleu,ter,embedding
nllb,romance,it,conversational,0.985436,50.9154,36.0515,0.7956830263137817
nllb,romance,es,conversational,0.988369,61.112,25.5365,0.8387870192527771
nllb,romance,fr,conversational,0.984871,55.5658,31.5451,0.7923210263252258
nllb,romance,pt,conversational,0.986008,54.6416,32.1888,0.8250349760055542
nllb,romance,ro,conversational,0.986189,57.2538,30.1502,0.8158640265464783
nllb,romance,ca,conversational,0.983318,58.6045,30.3648,0.806198000907898
nllb,romance,gl,conversational,0.984689,54.0005,33.691,0.8135669827461243
nllb,romance,it,cultural,0.971069,54.2101,29.5082,0.8884909749031067
nllb,romance,es,cultural,0.974183,59.7606,24.4411,0.9021160006523132
nllb,romance,fr,cultural,0.970369,52.196,30.4024,0.8949810266494751
nllb,romance,pt,cultural,0.975901,56.9695,26.304,0.9149010181427002
nllb,romance,ro,cultural,0.970677,55.0852,28.465,0.8771389722824097
nllb,romance,ca,cultural,0.96616,51.6364,31.2221,0.8615639805793762
nllb,romance,gl,cultural,0.973664,54.2451,29.5827,0.8933709859848022
nllb,romance,it,idiomatic,0.973039,52.634,32.1021,0.8199620246887207
nllb,romance,es,idiomatic,0.980012,61.3945,25.1175,0.8694990277290344
nllb,romance,fr,idiomatic,0.97379,51.9904,32.1021,0.8382650017738342
nllb,romance,pt,idiomatic,0.977003,55.2834,28.7441,0.8707410097122192
nllb,romance,ro,idiomatic,0.975557,58.0537,27.4681,0.8555480241775513
nllb,romance,ca,idiomatic,0.971773,52.794,30.8932,0.8085539937019348
nllb,romance,gl,idiomatic,0.977661,55.971,28.4755,0.8588879704475403
nllb,romance,it,technical,0.968038,51.0382,32.6547,0.8757209777832031
nllb,romance,es,technical,0.968684,54.1866,28.6609,0.8972790241241455
nllb,romance,fr,technical,0.965231,49.2506,35.3955,0.8730000257492065
nllb,romance,pt,technical,0.967633,52.9859,29.5223,0.8901860117912292
nllb,romance,ro,technical,0.962808,43.9557,38.3712,0.8447930216789246
nllb,romance,ca,technical,0.963747,49.7356,34.2208,0.8690119981765747
nllb,romance,gl,technical,0.966585,53.6203,29.2874,0.8949919939041138
nllb,romance,it,legal,0.977367,45.0192,35.9279,0.8472769856452942
nllb,romance,es,legal,0.981112,52.4578,29.9953,0.8807569742202759
nllb,romance,fr,legal,0.979796,47.8451,34.1718,0.867347002029419
nllb,romance,pt,legal,0.978735,51.2587,32.4158,0.8629940152168274
nllb,romance,ro,legal,0.977391,42.7631,39.1077,0.8536670207977295
nllb,romance,ca,legal,0.983418,57.0533,27.3374,0.8914560079574585
nllb,romance,gl,legal,0.982388,55.7651,27.8595,0.8887760043144226
nllb,romance,it,emotional,0.986249,53.1045,30.8233,0.8825230002403259
nllb,romance,es,emotional,0.988296,59.0301,25.3012,0.8899270296096802
nllb,romance,fr,emotional,0.98618,52.4537,32.3795,0.892615020275116
nllb,romance,pt,emotional,0.987983,57.6282,26.8072,0.9035230278968811
nllb,romance,ro,emotional,0.985405,51.3331,32.2289,0.8785600066184998
nllb,romance,ca,emotional,0.986624,54.8393,28.9659,0.8798180222511292
nllb,romance,gl,emotional,0.984699,53.8998,30.6727,0.8925269842147827
nllb,germanic,de,conversational,0.985664,53.201,33.9056,0.807811975479126
nllb,germanic,nl,conversational,0.986195,55.0728,32.5107,0.8105909824371338
nllb,germanic,sv,conversational,0.986582,57.7527,29.721,0.829006016254425
nllb,germanic,da,conversational,0.984714,53.5077,32.9399,0.8057050108909607
nllb,germanic,no,conversational,0.988116,63.9747,24.8927,0.8405569791793823
nllb,germanic,af,conversational,0.985964,58.2205,31.2232,0.8276839852333069
nllb,germanic,is,conversational,0.982351,49.0349,37.9828,0.7678279876708984
nllb,germanic,de,cultural,0.975359,55.0182,28.9866,0.90488201379776
nllb,germanic,nl,cultural,0.975357,57.3514,26.8256,0.9128770232200623
nllb,germanic,sv,cultural,0.973725,54.6027,27.5708,0.9048709869384766
nllb,germanic,da,cultural,0.974825,57.2993,26.6766,0.9011210203170776
nllb,germanic,no,cultural,0.976569,59.0149,23.5469,0.9099329710006714
nllb,germanic,af,cultural,0.973529,53.8451,29.1356,0.888355016708374
nllb,germanic,is,cultural,0.954632,37.1286,41.8778,0.8131060004234314
nllb,germanic,de,idiomatic,0.976387,52.2203,32.2364,0.8717989921569824
nllb,germanic,nl,idiomatic,0.978981,56.2822,29.0799,0.8820760250091553
nllb,germanic,sv,idiomatic,0.978617,56.7506,27.1995,0.8717520236968994
nllb,germanic,da,idiomatic,0.978309,57.65,27.5353,0.8798059821128845
nllb,germanic,no,idiomatic,0.982484,63.5967,21.6924,0.8868950009346008
nllb,germanic,af,idiomatic,0.978447,54.7577,30.2216,0.8676239848136902
nllb,germanic,is,idiomatic,0.964447,42.8319,38.8852,0.7699049711227417
nllb,germanic,de,technical,0.965523,48.8457,35.8653,0.8759829998016357
