translator,family,language,conversational_cosine,conversational_bleu,conversational_ter,conversational_embedding,cultural_cosine,cultural_bleu,cultural_ter,cultural_embedding,idiomatic_cosine,idiomatic_bleu,idiomatic_ter,idiomatic_embedding,technical_cosine,technical_bleu,technical_ter,technical_embedding,legal_cosine,legal_bleu,legal_ter,legal_embedding,emotional_cosine,emotional_bleu,emotional_ter,emotional_embedding,topical_cosine,topical_bleu,topical_ter,topical_embedding
nllb,romance,it,0.985436,50.9154,36.0515,0.7956830263137817,0.971069,54.2101,29.5082,0.8884909749031067,0.973039,52.634,32.1021,0.8199620246887207,0.968038,51.0382,32.6547,0.8757209777832031,0.977367,45.0192,35.9279,0.8472769856452942,0.986249,53.1045,30.8233,0.8825230002403259,0.9768663333333333,51.15356666666668,32.84461666666666,0.8516094982624054
nllb,romance,es,0.988369,61.112,25.5365,0.8387870192527771,0.974183,59.7606,24.4411,0.9021160006523132,0.980012,61.3945,25.1175,0.8694990277290344,0.968684,54.1866,28.6609,0.8972790241241455,0.981112,52.4578,29.9953,0.8807569742202759,0.988296,59.0301,25.3012,0.8899270296096802,0.9801093333333334,57.99026666666666,26.508750000000003,0.8797275125980377
nllb,romance,fr,0.984871,55.5658,31.5451,0.7923210263252258,0.970369,52.196,30.4024,0.8949810266494751,0.97379,51.9904,32.1021,0.8382650017738342,0.965231,49.2506,35.3955,0.8730000257492065,0.979796,47.8451,34.1718,0.867347002029419,0.98618,52.4537,32.3795,0.892615020275116,0.9767061666666668,51.550266666666666,32.666066666666666,0.8597548504670461
nllb,romance,pt,0.986008,54.6416,32.1888,0.8250349760055542,0.975901,56.9695,26.304,0.9149010181427002,0.977003,55.2834,28.7441,0.8707410097122192,0.967633,52.9859,29.5223,0.8901860117912292,0.978735,51.2587,32.4158,0.8629940152168274,0.987983,57.6282,26.8072,0.9035230278968811,0.9788771666666666,54.794549999999994,29.330366666666666,0.8778966764609019
nllb,romance,ro,0.986189,57.2538,30.1502,0.8158640265464783,0.970677,55.0852,28.465,0.8771389722824097,0.975557,58.0537,27.4681,0.8555480241775513,0.962808,43.9557,38.3712,0.8447930216789246,0.977391,42.7631,39.1077,0.8536670207977295,0.985405,51.3331,32.2289,0.8785600066184998,0.9763378333333333,51.40743333333333,32.63185000000001,0.8542618453502655
nllb,romance,ca,0.983318,58.6045,30.3648,0.806198000907898,0.96616,51.6364,31.2221,0.8615639805793762,0.971773,52.794,30.8932,0.8085539937019348,0.963747,49.7356,34.2208,0.8690119981765747,0.983418,57.0533,27.3374,0.8914560079574585,0.986624,54.8393,28.9659,0.8798180222511292,0.9758399999999999,54.11051666666666,30.5007,0.8527670005957285
nllb,romance,gl,0.984689,54.0005,33.691,0.8135669827461243,0.973664,54.2451,29.5827,0.8933709859848022,0.977661,55.971,28.4755,0.8588879704475403,0.966585,53.6203,29.2874,0.8949919939041138,0.982388,55.7651,27.8595,0.8887760043144226,0.984699,53.8998,30.6727,0.8925269842147827,0.9782810000000001,54.58363333333333,29.928133333333335,0.873686820268631
nllb,germanic,de,0.985664,53.201,33.9056,0.807811975479126,0.975359,55.0182,28.9866,0.90488201379776,0.976387,52.2203,32.2364,0.8717989921569824,0.965523,48.8457,35.8653,0.8759829998016357,0.97252,36.0883,43.2843,0.8231390118598938,0.986005,51.8019,32.9819,0.9025239944458008,0.9769096666666668,49.52923333333334,34.54335,0.8643564979235331
nllb,germanic,nl,0.986195,55.0728,32.5107,0.8105909824371338,0.975357,57.3514,26.8256,0.9128770232200623,0.978981,56.2822,29.0799,0.8820760250091553,0.968093,49.3869,32.8113,0.8812609910964966,0.974581,39.2518,41.196,0.8341659903526306,0.986618,54.0737,30.6727,0.901980996131897,0.9783041666666668,51.90313333333334,32.1827,0.8704920013745626
nllb,germanic,sv,0.986582,57.7527,29.721,0.829006016254425,0.973725,54.6027,27.5708,0.9048709869384766,0.978617,56.7506,27.1995,0.8717520236968994,0.964719,49.3297,34.0642,0.8607820272445679,0.972419,36.7616,42.9995,0.8211879730224609,0.986436,55.7441,28.1627,0.9012560248374939,0.977083,51.823566666666665,31.61961666666667,0.8648091753323873
