translator,language,domain,direction,cosine,bleu,ter
nllb,es,conversational,ABA,0.988369,61.112,25.5365
nllb,es,conversational,BAB,0.982468,82.6684,12.0627
nllb,es,cultural,ABA,0.974183,59.7606,24.4411
nllb,es,cultural,BAB,0.990933,84.6465,9.7709
nllb,es,idiomatic,ABA,0.980012,61.3945,25.1175
nllb,es,idiomatic,BAB,0.988339,82.4885,11.5436
nllb,es,technical,ABA,0.968684,54.1866,28.6609
nllb,es,technical,BAB,0.992822,83.6271,9.4807
nllb,es,legal,ABA,0.981112,52.4578,29.9953
nllb,es,legal,BAB,0.990974,80.8947,11.0149
nllb,es,emotional,ABA,0.988296,59.0301,25.3012
nllb,es,emotional,BAB,0.991273,82.9287,10.5745
nllb,de,conversational,ABA,0.985664,53.201,33.9056
nllb,de,conversational,BAB,0.989374,78.6757,16.0535
nllb,de,cultural,ABA,0.975359,55.0182,28.9866
nllb,de,cultural,BAB,0.9847,74.7524,17.3363
nllb,de,idiomatic,ABA,0.976387,52.2203,32.2364
nllb,de,idiomatic,BAB,0.990609,76.3743,16.3324
nllb,de,technical,ABA,0.965523,48.8457,35.8653
nllb,de,technical,BAB,0.977531,68.4755,21.6454
nllb,de,legal,ABA,0.97252,36.0883,43.2843
nllb,de,legal,BAB,0.978975,55.542,30.916
nllb,de,emotional,ABA,0.986005,51.8019,32.9819
nllb,de,emotional,BAB,0.991846,73.6492,18.1635
nllb,ru,conversational,ABA,0.982426,48.0701,39.6996
nllb,ru,conversational,BAB,0.972923,72.4924,21.1125
nllb,ru,cultural,ABA,0.967109,45.3674,36.5127
nllb,ru,cultural,BAB,0.940289,66.2749,23.9766
nllb,ru,idiomatic,ABA,0.968939,46.5409,37.2733
nllb,ru,idiomatic,BAB,0.938084,65.7104,24.5455
nllb,ru,technical,ABA,0.956321,38.9367,42.6782
nllb,ru,technical,BAB,0.955558,67.7888,22.5473
nllb,ru,legal,ABA,0.971526,38.5289,44.6607
nllb,ru,legal,BAB,0.962826,63.665,25.2661
nllb,ru,emotional,ABA,0.982182,44.1228,38.8554
nllb,ru,emotional,BAB,0.982,69.3645,22.3386
nllb,ar,conversational,ABA,0.985547,55.3731,32.5107
nllb,ar,conversational,BAB,0.551917,67.4416,22.0627
nllb,ar,cultural,ABA,0.963246,44.5674,37.0343
nllb,ar,cultural,BAB,0.438866,55.0607,30.6066
nllb,ar,idiomatic,ABA,0.972372,52.8777,32.908
nllb,ar,idiomatic,BAB,0.44,64.4097,23.8382
nllb,ar,technical,ABA,0.943643,32.8492,48.7079
nllb,ar,technical,BAB,0.947813,60.4323,25.3995
nllb,ar,legal,ABA,0.970957,37.7949,43.5216
nllb,ar,legal,BAB,0.937,54.4519,31.3374
nllb,ar,emotional,ABA,0.982888,45.9271,36.4458
nllb,ar,emotional,BAB,0.742807,61.6202,25.9162
nllb,ja,conversational,ABA,0.969053,26.5994,59.3348
nllb,ja,conversational,BAB,0.2,15.7981,69.6774
nllb,ja,cultural,ABA,0.94742,24.5228,59.538
nllb,ja,cultural,BAB,0.374504,9.5595,86.7299
nllb,ja,idiomatic,ABA,0.956056,26.4409,59.9731
nllb,ja,idiomatic,BAB,0.25,5.109,102.3364
nllb,ja,technical,ABA,0.952849,37.0668,48.1597
nllb,ja,technical,BAB,0.856441,35.7882,86.3636
nllb,ja,legal,ABA,0.964474,29.3019,53.2985
nllb,ja,legal,BAB,0.805208,26.3714,103.8462
nllb,ja,emotional,ABA,0.972601,27.1929,57.8815
nllb,ja,emotional,BAB,0.252685,23.4989,92.2907
