translator,order,domain,hop,lang_code,cosine,bleu,ter
nllb,linguistic,conversational,0,en,1.0,100.0,0.0
nllb,linguistic,conversational,1,es,0.988369,61.112,25.5365
nllb,linguistic,conversational,2,de,0.980551,44.7232,40.7725
nllb,linguistic,conversational,3,ru,0.979563,41.6291,45.0644
nllb,linguistic,conversational,4,ar,0.975376,37.2244,47.7468
nllb,linguistic,conversational,5,ja,0.959678,20.0654,66.309
nllb,linguistic,cultural,0,en,1.0,100.0,0.0
nllb,linguistic,cultural,1,es,0.974183,59.7606,24.4411
nllb,linguistic,cultural,2,de,0.961719,45.0198,36.8107
nllb,linguistic,cultural,3,ru,0.952993,32.7928,46.7213
nllb,linguistic,cultural,4,ar,0.944865,26.5439,55.2906
nllb,linguistic,cultural,5,ja,0.917943,10.212,79.0611
nllb,linguistic,idiomatic,0,en,1.0,100.0,0.0
nllb,linguistic,idiomatic,1,es,0.980012,61.3945,25.1175
nllb,linguistic,idiomatic,2,de,0.968934,44.0062,38.0121
nllb,linguistic,idiomatic,3,ru,0.959891,35.3325,45.9369
nllb,linguistic,idiomatic,4,ar,0.948188,26.3248,55.3392
nllb,linguistic,idiomatic,5,ja,0.933127,13.5002,74.681
nllb,linguistic,technical,0,en,1.0,100.0,0.0
nllb,linguistic,technical,1,es,0.968684,54.1866,28.6609
nllb,linguistic,technical,2,de,0.953415,36.879,44.8708
nllb,linguistic,technical,3,ru,0.943188,26.756,54.5027
nllb,linguistic,technical,4,ar,0.920847,16.5504,66.8755
nllb,linguistic,technical,5,ja,0.905903,8.6438,87.0791
nllb,linguistic,legal,0,en,1.0,100.0,0.0
nllb,linguistic,legal,1,es,0.981112,52.4578,29.9953
nllb,linguistic,legal,2,de,0.969386,33.1446,47.8405
nllb,linguistic,legal,3,ru,0.961719,25.219,55.7665
nllb,linguistic,legal,4,ar,0.955841,20.5645,61.8889
nllb,linguistic,legal,5,ja,0.936918,12.0546,83.2938
nllb,linguistic,emotional,0,en,1.0,100.0,0.0
nllb,linguistic,emotional,1,es,0.988296,59.0301,25.3012
nllb,linguistic,emotional,2,de,0.982845,44.847,37.751
nllb,linguistic,emotional,3,ru,0.975853,33.855,47.741
nllb,linguistic,emotional,4,ar,0.97139,28.8534,54.0663
nllb,linguistic,emotional,5,ja,0.956996,14.1395,71.988
nllb,reverse,conversational,0,en,1.0,100.0,0.0
nllb,reverse,conversational,1,ja,0.969053,26.5994,59.3348
nllb,reverse,conversational,2,ar,0.963034,20.5179,67.4893
nllb,reverse,conversational,3,ru,0.962353,18.3389,70.0644
nllb,reverse,conversational,4,de,0.959472,17.7766,69.5279
nllb,reverse,conversational,5,es,0.958977,18.7511,69.9571
nllb,reverse,cultural,0,en,1.0,100.0,0.0
nllb,reverse,cultural,1,ja,0.94742,24.5228,59.538
nllb,reverse,cultural,2,ar,0.930381,16.0311,73.3234
nllb,reverse,cultural,3,ru,0.925791,15.0387,75.1118
nllb,reverse,cultural,4,de,0.92232,11.9434,77.3472
nllb,reverse,cultural,5,es,0.915953,11.3235,78.614
nllb,reverse,idiomatic,0,en,1.0,100.0,0.0
nllb,reverse,idiomatic,1,ja,0.956056,26.4409,59.9731
nllb,reverse,idiomatic,2,ar,0.937408,18.5239,76.4271
nllb,reverse,idiomatic,3,ru,0.933738,15.0133,76.7629
nllb,reverse,idiomatic,4,de,0.930992,13.9825,78.3076
nllb,reverse,idiomatic,5,es,0.928201,13.0449,81.867
nllb,reverse,technical,0,en,1.0,100.0,0.0
nllb,reverse,technical,1,ja,0.952849,37.0668,48.1597
nllb,reverse,technical,2,ar,0.916451,14.4053,86.296
nllb,reverse,technical,3,ru,0.906127,10.5186,94.5967
nllb,reverse,technical,4,de,0.903649,9.0703,99.2169
nllb,reverse,technical,5,es,0.901366,9.1221,94.675
nllb,reverse,legal,0,en,1.0,100.0,0.0
nllb,reverse,legal,1,ja,0.964474,29.3019,53.2985
nllb,reverse,legal,2,ar,0.95236,15.203,69.2928
nllb,reverse,legal,3,ru,0.945711,10.9131,74.2762
nllb,reverse,legal,4,de,0.944901,9.645,78.7375
nllb,reverse,legal,5,es,0.945139,9.3818,77.2188
nllb,reverse,emotional,0,en,1.0,100.0,0.0
nllb,reverse,emotional,1,ja,0.972601,27.1929,57.8815
nllb,reverse,emotional,2,ar,0.960502,16.9526,78.5141
nllb,reverse,emotional,3,ru,0.954679,16.7573,80.0201
nllb,reverse,emotional,4,de,0.954776,15.9915,81.5261
nllb,reverse,emotional,5,es,0.953116,14.5766,83.1325
nllb,random,conversational,0,en,1.0,100.0,0.0
nllb,random,conversational,1,ru,0.982426,48.0701,39.6996
nllb,random,conversational,2,es,0.976546,42.5483,46.1373
nllb,random,conversational,3,ja,0.966552,21.9083,62.6609
nllb,random,conversational,4,de,0.96292,21.1316,65.8798
nllb,random,conversational,5,ar,0.958468,19.2984,68.3476
nllb,random,cultural,0,en,1.0,100.0,0.0
nllb,random,cultural,1,ru,0.967109,45.3674,36.5127
nllb,random,cultural,2,es,0.956857,35.4,44.4858
nllb,random,cultural,3,ja,0.93751,19.3093,67.3621
nllb,random,cultural,4,de,0.931242,16.8211,69.4486
nllb,random,cultural,5,ar,0.92547,14.2547,73.696
nllb,random,idiomatic,0,en,1.0,100.0,0.0
nllb,random,idiomatic,1,ru,0.968939,46.5409,37.2733
nllb,random,idiomatic,2,es,0.962886,36.4162,44.8623
nllb,random,idiomatic,3,ja,0.943303,20.0583,65.7488
nllb,random,idiomatic,4,de,0.936854,17.0386,68.7038
nllb,random,idiomatic,5,ar,0.93474,14.7334,71.6588
nllb,random,technical,0,en,1.0,100.0,0.0
nllb,random,technical,1,ru,0.956321,38.9367,42.6782
nllb,random,technical,2,es,0.947038,31.8951,51.1355
nllb,random,technical,3,ja,0.92698,18.8584,72.8269
nllb,random,technical,4,de,0.917472,12.2715,82.224
nllb,random,technical,5,ar,0.906698,9.2939,87.3923
nllb,random,legal,0,en,1.0,100.0,0.0
nllb,random,legal,1,ru,0.971526,38.5289,44.6607
nllb,random,legal,2,es,0.966696,31.3522,50.3085
nllb,random,legal,3,ja,0.956753,20.2224,64.3569
nllb,random,legal,4,de,0.948759,12.6599,72.1405
nllb,random,legal,5,ar,0.940834,10.0165,74.1338
nllb,random,emotional,0,en,1.0,100.0,0.0
nllb,random,emotional,1,ru,0.982182,44.1228,38.8554
nllb,random,emotional,2,es,0.979418,39.6505,42.0683
nllb,random,emotional,3,ja,0.969118,21.7146,62.4498
nllb,random,emotional,4,de,0.964943,18.0658,67.1687
nllb,random,emotional,5,ar,0.96218,14.8119,71.1847
